Name,Country,Age,"Height, cm",Weight,Sex,Date of birth,Birth Month,Place of birth,Gold,Silver,Bronze,Total,Sport,Event
Hiroshi Hoketsu,Japan,71,168,61,M,3/28/1941,3,CHUO (JPN),0,0,0,0,Equestrian,"Individual Dressage, WHISPER"
Ian Millar,Canada,65,185,76,M,1/6/1947,1,Halifax (CAN),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, STAR POWER"
Afanasijs Kuzmins,Latvia,65,178,89,M,3/22/1947,3,BIKERNIEKI PARISH (LAT),0,0,0,0,Shooting,Men's 25m Rapid Fire Pistol
Carl Bouckaert,Belgium,58,181,78,M,4/19/1954,4,WAREGEM (BEL),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, CYRANO Z"
Mary Hanna,Australia,57,173,63,F,12/1/1954,12,Melbourne (AUS),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, SANCETTE"
Andrei Kavalenka,Belarus,57,185,88,M,3/9/1955,3,KERMEND (HUN),0,0,0,0,Shooting,Men's Trap
Richard Davison,Great Britain,56,177,76,M,9/20/1955,9,Nottingham (GBR),0,0,0,0,Equestrian,"Individual Dressage, ARTEMIS"
Mark Todd,New Zealand,56,190,82,M,3/1/1956,3,Hamilton (NZL),0,0,1,1,Equestrian,"Individual Eventing, Team Eventing, CAMPINO"
Peter Barry,Canada,56,180,78,M,6/17/1956,6,KOLN DEU (GER),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, KILRODAN ABBOTT"
Nick Skelton,Great Britain,54,175,77,M,12/30/1957,12,BEDWORTH (GBR),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, BIG STAR"
Karen O'Connor,United States of America,54,168,54,F,2/17/1958,2,Concord (USA),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, MR MEDICOTT"
Irada Ashumova,Azerbaijan,54,157,60,F,2/25/1958,2,Baku (AZE),0,0,0,0,Shooting,"Women's 10m Air Pistol, Women's 25m Pistol"
Jan Ebeling,United States of America,53,180,70,M,9/14/1958,9,Berlin (GER),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, RAFALCA"
Marc Rigouts,Belgium,53,183,79,M,10/14/1958,10,Leuven (BEL),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, DUNKAS A"
Andrew Hoy,Australia,53,157,60,M,2/8/1959,2,CULCAIRN (AUS),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, RUTHERGLEN"
Jaime Azcarraga,Mexico,52,180,74,M,9/9/1959,9,Mexico D.F. (MEX),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, GANGSTER"
Lesley Thompson-Willie,Canada,52,160,50,F,9/20/1959,9,,0,1,0,1,Rowing,Women's Eight
Richard Fellers,United States of America,52,183,77,M,10/3/1959,10,COOS BAY (USA),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, FLEXIBLE"
Peter Charles,Great Britain,52,175,78,M,1/18/1960,1,Liverpool (GBR),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, VINDICAT"
Philippe le Jeune,Belgium,52,172,76,M,6/15/1960,6,UKKEL (BEL),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, VIGO D'ARSOUILLES"
Jos Lansink,Belgium,51,178,70,M,3/19/1961,3,WEERSELO (NED),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, VALENTINA VAN 'T HEIKE"
Peter Thomsen,Germany,51,183,73,M,4/4/1961,4,Flensburg (GER),1,0,0,1,Equestrian,"Individual Eventing, Team Eventing, BARNY"
Mary King,Great Britain,51,170,65,F,6/8/1961,6,Newark (GBR),0,1,0,1,Equestrian,"Individual Eventing, Team Eventing, IMPERIAL CAVALIER"
Vladimir Tuganov,Russian Federation,51,,,M,7/17/1961,7,VLADIKAVKAZ (RUS),0,0,0,0,Equestrian,"Individual Jumping, LANCERO"
Andrew Nicholson,New Zealand,51,182,75,M,8/1/1961,8,TE AWAMUTU (NZL),0,0,1,1,Equestrian,"Individual Eventing, Team Eventing, NEREO"
Tina Konyot,United States of America,50,173,62,F,9/12/1961,9,Hollywood (USA),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, CALECTO V"
Louisa Hill,New Zealand,50,180,66,F,3/2/1962,3,Takapuna (NZL),0,0,0,0,Equestrian,"Individual Dressage, ANTONELLO"
Anne van Olst,Denmark,50,184,74,F,3/25/1962,3,ALBORG (DEN),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, CLEARWATER"
Warren Potent,Australia,50,177,73,M,4/7/1962,4,PARRAMATTA (AUS),0,0,0,0,Shooting,Men's 50m Rifle Prone
Zhiwen He,Spain,50,173,72,M,5/31/1962,5,HUANG YAN,0,0,0,0,Table Tennis,Men's Singles
Rolf-Goran Bengtsson,Sweden,50,171,70,M,6/2/1962,6,HARDEBERGA (SWE),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, CASALL"
Ralf Schumann,Germany,50,167,74,M,6/10/1962,6,Meissen (GER),0,0,0,0,Shooting,Men's 25m Rapid Fire Pistol
Pius Schwizer,Switzerland,49,175,65,M,8/13/1962,8,EICH (SUI),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, CARLINA IV"
Anna Merveldt,Ireland,49,168,60,F,9/20/1962,9,HANEY (CAN),0,0,0,0,Equestrian,"Individual Dressage, CORYOLANO"
Jill Henselwood,Canada,49,168,56,F,11/1/1962,11,Ottawa (CAN),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, GEORGE"
Mona Elhawary,Egypt,49,171,69,F,11/3/1962,11,Cairo (EGY),0,0,0,0,Shooting,Women's Skeet
Joris van Springel,Belgium,49,171,69,M,2/8/1963,2,Turnhout (BEL),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, LULLY DES AULNES"
Rajmond Debevec,Slovenia,49,182,76,M,3/29/1963,3,Postojna (SLO),0,0,1,1,Shooting,"Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Glenn Kable,Fiji,49,185,92,M,5/4/1963,5,Sydney (AUS),0,0,0,0,Shooting,Men's Trap
Denis Mesples,France,49,174,69,M,5/21/1963,5,DESERTINES (FRA),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, OREGON DE LA VIGNE"
Paul Estermann,Switzerland,49,180,77,M,6/24/1963,6,Luzern (SUI),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, CASTLEFIELD ECLIPSE"
Xia Lian Ni,Luxembourg,49,157,57,F,7/4/1963,7,Shanghai,0,0,0,0,Table Tennis,Women's Singles
Abdullah Alrashidi,Kuwait,48,180,95,M,8/21/1963,8,KUWAIT (KUW),0,0,0,0,Shooting,Men's Skeet
Phillip Dutton,United States of America,48,168,68,M,9/13/1963,9,NYGUEN (AUS),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, MYSTERY WHISPER"
Ashley Holzer,Canada,48,152,60,F,10/10/1963,10,Toronto (CAN),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, BREAKING DAWN"
Elizabeth Madden,United States of America,48,168,62,F,11/20/1963,11,Milwaukee (USA),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, VIA VOLO"
Michelle Mueller,Canada,48,167,56,F,11/20/1963,11,Pickering (CAN),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, AMISTAD"
Lalita Yauhleuskaya,Australia,48,158,64,F,12/31/1963,12,SOKOL (RUS),0,0,0,0,Shooting,"Women's 10m Air Pistol, Women's 25m Pistol"
Russell Mark,Australia,48,183,88,M,2/25/1964,2,Ballarat (AUS),0,0,0,0,Shooting,Men's Double Trap
Michael Maier,Czech Republic,48,188,102,M,5/7/1964,5,ROUDNICE NAD LABEM (CZE),0,0,0,0,Sailing,Men's Finn
Dirk Demeersman,Belgium,48,170,72,M,7/15/1964,7,SINT,0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, BUFERO VAN HET PANISHOF"
Steffen Peters,United States of America,47,173,68,M,9/18/1964,9,WESEL GERMANY (GER),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, RAVEL"
Josefa Idem,Italy,47,177,70,F,9/23/1964,9,,0,0,0,0,Canoe Sprint,Women's Kayak Single (K1) 500m
Joao Costa,Portugal,47,182,102,M,10/28/1964,10,Luanda (ANG),0,0,0,0,Shooting,"Men's 50m Pistol, Men's 10m Air Pistol"
Samuel Parot,Chile,47,170,80,M,12/5/1964,12,TALCA (CHI),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, AL CALYPSO"
Javier Rodriguez,Mexico,47,175,70,M,12/22/1964,12,SALTILLO (MEX),0,0,0,0,Shooting,Men's Skeet
Kai Jahnsson,Finland,47,165,85,M,1/25/1965,1,Helsinki (FIN),0,0,0,0,Shooting,"Men's 50m Pistol, Men's 10m Air Pistol"
David J Chapman,Australia,47,165,70,M,3/22/1965,3,BALAKLAVA (AUS),0,0,0,0,Shooting,Men's 25m Rapid Fire Pistol
Andrei Korshunov,Russian Federation,46,185,81,M,8/22/1965,8,Kuybyshev (RUS),0,0,0,0,Equestrian,"Individual Eventing, FABIY"
Katarzyna Milczarek,Poland,46,168,57,F,9/2/1965,9,Warszawa (POL),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, EKWADOR"
Danilo Caro Guarnieri,Colombia,46,175,74,M,9/6/1965,9,Bogota (COL),0,0,0,0,Shooting,Men's Trap
Hakan Dahlby,Sweden,46,185,85,M,9/15/1965,9,VASTERSTAD (SWE),0,1,0,1,Shooting,Men's Double Trap
Karen Hultzer,South Africa,46,175,95,F,9/16/1965,9,Cape Town,0,0,0,0,Archery,Women's Individual
Lucinda Fredericks,Australia,46,180,62,F,9/28/1965,9,Zomba (MAW),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, FLYING FINISH"
Jasna Sekaric,Serbia,46,174,68,F,12/17/1965,12,Beograd (SRB),0,0,0,0,Shooting,Women's 25m Pistol
Daina Gudzineviciute,Lithuania,46,178,80,F,12/23/1965,12,Vilnius (LTU),0,0,0,0,Shooting,Women's Trap
Eric Uptagrafft,United States of America,46,183,95,M,2/16/1966,2,Spokane (USA),0,0,0,0,Shooting,Men's 50m Rifle Prone
Beatriz Ferrer-Salat,Spain,46,176,60,F,3/11/1966,3,Barcelona (ESP),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, DELGADO"
Nathalie Dielen,Switzerland,46,163,73,F,3/18/1966,3,Lausanne,0,0,0,0,Archery,Women's Individual
Jorgen Persson,Sweden,46,186,79,M,4/22/1966,4,M LUTHER (SWE),0,0,0,0,Table Tennis,"Men's Singles, Men's Team"
Oleksandr Dryhol,Ukraine,46,183,104,M,4/25/1966,4,Moscow (RUS),0,0,0,0,Athletics,Men's Hammer Throw
Consuelo Monsegur,Argentina,46,175,74,F,6/23/1966,6,Buenos Aires (ARG),0,0,0,0,Sailing,Women's 470
Mikhail Nastenko,Russian Federation,45,178,71,M,8/8/1966,8,Kiev (),0,0,0,0,Equestrian,"Individual Eventing, COOLROY PITER"
Lotta Harrysson,Sweden,45,172,60,F,9/23/1966,9,ANGERED (SWE),0,0,0,0,Sailing,Women's Elliott 6m
Ronald Zabala-Goetschel,Ecuador,45,170,69,M,9/26/1966,9,QUITO (ECU),0,0,0,0,Equestrian,"Individual Eventing, MASTER ROSE"
Fehaid Aldeehani,Kuwait,45,180,100,M,10/11/1966,10,KUWAIT (KUW),0,0,0,0,Shooting,"Men's Trap, Men's Double Trap"
Khurram Inam,Pakistan,45,,,M,10/28/1966,10,KARACHI (PAK),0,0,0,0,Shooting,Men's Skeet
Antoni Bernado,Andorra,45,175,64,M,12/9/1966,12,Sant Julia de Loria (AND),0,0,0,0,Athletics,Men's Marathon
Thomas Farnik,Austria,45,183,83,M,1/6/1967,1,Wien (AUT),0,0,0,0,Shooting,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Richard Bognar,Hungary,45,181,105,M,4/25/1967,4,MOSONMAGYAROVAR (HUN),0,0,0,0,Shooting,Men's Double Trap
Carl Hester,Great Britain,45,183,81,M,6/29/1967,6,BARNET (GBR),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, UTHOPIA"
Lucia Liliana Mihalache,Romania,45,169,97,F,7/5/1967,7,ARAD (ROU),0,0,0,0,Shooting,Women's Skeet
Tinne Vilhelmson Silfven,Sweden,45,165,58,F,7/12/1967,7,VASTERLED (SWE),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, DON AURIELLO"
Jacqueline Brooks,Canada,44,175,66,F,9/15/1967,9,Edmonton (CAN),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, D' NIRO"
Arben Kucana,Albania,44,184,95,M,9/18/1967,9,Tiranë (ALB),0,0,0,0,Shooting,"Men's 50m Pistol, Men's 10m Air Pistol"
Clayton Fredericks,Australia,44,185,87,M,11/17/1967,11,MOORA (AUS),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, BENDIGO"
Jens Fredricson,Sweden,44,180,78,M,12/14/1967,12,Sofia (SWE),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, LUNATIC"
Sergey Babikov,Tajikistan,44,173,91,M,12/20/1967,12,Dushanbe (TJK),0,0,0,0,Shooting,Men's 10m Air Pistol
Anky van Grunsven,Netherlands,44,170,56,F,1/2/1968,1,Erp (NED),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, SALINERO"
Ennio Falco,Italy,44,168,64,M,1/3/1968,1,CAPUA (ITA),0,0,0,0,Shooting,Men's Skeet
Nedzad Fazlija,Bosnia and Herzegovina,44,175,70,M,2/25/1968,2,BAVCICI (BIH),0,0,0,0,Shooting,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Federico Fernandez,Mexico,44,173,80,M,3/28/1968,3,NOPALUCAN (MEX),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, VICTORIA"
Ingrid Klimke,Germany,44,172,59,F,4/1/1968,4,MUNSTER (GER),1,0,0,1,Equestrian,"Individual Eventing, Team Eventing, BUTTS ABRAXXAS"
Stepanka Hilgertova,Czech Republic,44,164,56,F,4/10/1968,4,Praha (CZE),0,0,0,0,Canoe Slalom,Women's Kayak (K1)
Eric Lamaze,Canada,44,165,65,M,4/17/1968,4,Montreal (CAN),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, DERLY CHIN DE MUZE"
Emil Milev,United States of America,44,178,83,M,5/2/1968,5,Sofia (BUL),0,0,0,0,Shooting,Men's 25m Rapid Fire Pistol
Sergei Martynov,Belarus,44,172,70,M,5/18/1968,5,VEREIA (RUS),1,0,0,1,Shooting,Men's 50m Rifle Prone
Lionel Guyon,France,44,175,60,M,6/5/1968,6,ST,0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, NEMETIS DE LALOU"
Xavier Rohart,France,44,188,100,M,7/1/1968,7,Thionville (FRA),0,0,0,0,Sailing,Men's Star
Allan Bentsen,Denmark,43,182,85,M,8/21/1968,8,ODENSE,0,0,0,0,Table Tennis,Men's Singles
Maria Luisa Calle Williams,Colombia,43,168,52,F,10/3/1968,10,MEDELLIN (COL),0,0,0,0,"Cycling - Road, Cycling - Track","Women's Individual Time Trial, Women's Omnium"
Anzela Voronova,Estonia,43,170,72,F,10/4/1968,10,Narva (EST),0,0,0,0,Shooting,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
Juan Carlos Stevens,Cuba,43,,,M,10/22/1968,10,Guantanamo,0,0,0,0,Archery,Men's Individual
Richard Clarke,Canada,43,185,93,M,11/20/1968,11,Toronto (CAN),0,0,0,0,Sailing,Men's Star
Nikola Saranovic,Montenegro,43,182,95,M,11/23/1968,11,PODGORICA (MNE),0,0,0,0,Shooting,"Men's 50m Pistol, Men's 10m Air Pistol"
Serguei Fofanoff,Brazil,43,178,74,M,12/11/1968,12,RIBEIRAO PRETO (BRA),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, BARBARA"
Aurelien Kahn,France,43,,,M,12/30/1968,12,SAINT,0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, CADIZ"
Jose Maria Larocca,Argentina,43,183,83,M,1/1/1969,1,Wettingen (SUI),0,0,0,0,Equestrian,"Individual Jumping, ROYAL POWER"
William Fox-Pitt,Great Britain,43,198,76,M,1/2/1969,1,London (GBR),0,1,0,1,Equestrian,"Individual Eventing, Team Eventing, LIONHEART"
Alena Tseliapushkina,Belarus,43,165,58,F,1/22/1969,1,KORCHEVJINA VILL. (BLR),0,0,0,0,Equestrian,"Individual Eventing, PASSAT"
Nino Salukvadze,Georgia,43,168,58,F,2/1/1969,2,Tbilisi (GEO),0,0,0,0,Shooting,"Women's 10m Air Pistol, Women's 25m Pistol"
Dorothee Schneider,Germany,43,169,63,F,2/17/1969,2,WIESBADEN (GER),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, DIVA ROYAL"
Heidi Diethelm Gerber,Switzerland,43,168,90,F,3/20/1969,3,Münsterlingen (SUI),0,0,0,0,Shooting,"Women's 10m Air Pistol, Women's 25m Pistol"
Francesco D Aniello,Italy,43,170,82,M,3/21/1969,3,NETTUNO (ITA),0,0,0,0,Shooting,Men's Double Trap
Jan Sychra,Czech Republic,43,170,83,M,3/21/1969,3,Brno  (CZE),0,0,0,0,Shooting,Men's Skeet
Aleksandr Onishchenko,Ukraine,43,175,76,M,3/31/1969,3,RUSSIA (RUS),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, COMTE D'ARSOUILLES"
Elena Timina,Netherlands,43,177,63,F,5/8/1969,5,MOSKOU (RUS),0,0,0,0,Table Tennis,Women's Team
Hugo Hoyama,Brazil,43,,69,M,5/9/1969,5,SAO BERNARDO DO CAMP,0,0,0,0,Table Tennis,"Men's Singles, Men's Team"
Zoran Primorac,Croatia,43,185,84,M,5/10/1969,5,ZADAR (CRO),0,0,0,0,Table Tennis,Men's Singles
Malin Kallstrom,Sweden,43,164,73,F,5/14/1969,5,LUND (SWE),0,0,0,0,Sailing,Women's Elliott 6m
Michael Hestbaek,Denmark,43,187,89,M,5/19/1969,5,Kobenhavn (DEN),0,0,0,0,Sailing,Men's Star
Juan Manuel Munoz Diaz,Spain,43,172,73,M,5/19/1969,5,ECIJA (ESP),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, FUEGO"
Munkhbayar Dorjsuren,Germany,43,167,53,F,7/9/1969,7,Ulaanbaatar (MGL),0,0,0,0,Shooting,"Women's 10m Air Pistol, Women's 25m Pistol"
Maxim Kosarev,Russian Federation,43,176,85,M,7/20/1969,7,Moscow (RUS),0,0,0,0,Shooting,Men's Trap
Petya Lukanova,Bulgaria,43,164,62,F,7/20/1969,7,PAZARDZHIK (BUL),0,0,0,0,Shooting,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
